slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
1rpc-sapphire-public-recent-state,,!offer:1rpc-public-recent-state,"[""[Docs](https://docs.oasis.io/build/sapphire/network/)""]",,,,,,sapphire,,,,,,,,,,,,,,,,,,,
oasis-nexus-sapphire-indexer,,!offer:oasis-nexus,"[""[API](https://nexus.oasis.io/v1/)"", ""[Docs](https://docs.oasis.io/build/sapphire/network/)""]",,,,,,sapphire,,,,,,,,,,,,,,,,,,,
oasis-nexus-sapphire-testnet-indexer,,!offer:oasis-nexus,"[""[API](https://testnet.nexus.oasis.io/v1/)"", ""[Docs](https://docs.oasis.io/build/sapphire/network/)""]",,,,,,sapphire-testnet,,,,,,,,,,,,,,,,,,,
oasis-sapphire-public-rpc,,!offer:oasis-public-rpc,"[""[RPC](https://sapphire.oasis.io)"", ""[Docs](https://docs.oasis.io/build/sapphire/network/)""]",,,,,,sapphire,,,,,,,,,,,,,,,,,,,
oasis-sapphire-testnet-public-rpc,,!offer:oasis-public-rpc,"[""[RPC](https://testnet.sapphire.oasis.io)"", ""[Docs](https://docs.oasis.io/build/sapphire/network/)""]",,,,,,sapphire-testnet,,,,,,,,,,,,,,,,,,,
thirdweb-sapphire-starter-recent-state,,!offer:thirdweb-starter-recent-state,"[""[Docs](https://docs.oasis.io/build/sapphire/network/)""]",,,,,,sapphire,,,,,,,,,,,,,,,,,,,
thirdweb-sapphire-testnet-starter-recent-state,,!offer:thirdweb-starter-recent-state,"[""[Docs](https://docs.oasis.io/build/sapphire/network/)""]",,,,,,sapphire-testnet,,,,,,,,,,,,,,,,,,,
