slug,provider,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,actionButtons
superchain-faucet,Optimism,testnet,TRUE,TRUE,,$0.00,0.05 ETH,24h,,FALSE,"[""[Faucet](https://console.optimism.io/faucet?utm_source=op-docs&utm_medium=docs)""]"
alchemy-sepolia-faucet,!provider:alchemy-faucet,testnet,,,,,0.1 ETH,72h,,,"[""[Faucet](https://www.alchemy.com/faucets/optimism-sepolia)""]"
chain-platform-sepolia-faucet,Chain Platform,testnet,FALSE,TRUE,,$0.00,0.1 ETH,24h,,FALSE,"[""[Faucet](https://faucet.chainplatform.co/faucets/ethereum-sepolia/)""]"
ethereum-ecosystem-sepolia-faucet,Ethereum Ecosystem,testnet,FALSE,TRUE,,$0.00,0.5 ETH,24h,"[""Only ENS names are allowed to redeem""]",FALSE,"[""[Faucet](https://www.ethereum-ecosystem.com/faucets/optimism-sepolia)""]"
ethglobal-testnet-faucet,ETHGlobal,testnet,TRUE,FALSE,,$69/$99/$129,0.05 ETH,24h,"[""Available only on paid plans""]",FALSE,"[""[Faucet](https://ethglobal.com/faucet/op-sepolia-11155420)""]"
farcaster-frame-sepolia-faucet,LearnWeb3,testnet,TRUE,FALSE,,$0.00,0.01 ETH,24h,"[""Need to have a Farcaster account""]",FALSE,"[""[Faucet](https://www.launchcaster.xyz/p/65b67aca2cccdd9d36e48a9c)""]"
infura-sepolia-faucet,!provider:infura-faucet,testnet,,,0.001 ETH,,up to 0.5 ETH,24h,"[""The address must have Ethereum Mainnet transaction history""]",,"[""[Faucet](https://docs.metamask.io/developer-tools/faucet)""]"
native-usdc-sepolia-faucet,Circle,testnet,FALSE,FALSE,,$0.00,10 USDC,1h,,FALSE,"[""[Faucet](https://faucet.circle.com/)""]"
quicknode-sepolia-faucet,!provider:quicknode-faucet,testnet,,,,,0.05 ETH,12h,,,"[""[Faucet](https://faucet.quicknode.com/optimism/sepolia)""]"
thirdweb-op-sepolia-faucet,Thirdweb,testnet,TRUE,TRUE,,$5/$99/$499/$1499,0.01 ETH,24h,"[""Available only on paid plans""]",FALSE,"[""[Faucet](https://thirdweb.com/op-sepolia-testnet)""]"
